videoname;object_A_centre_x;object_A_centre_y;object_B_centre_x;object_B_centre_y;radius_A;radius_B
Nol G1l Test 010324;363;202;660;501;22.20360331117452;22.20360331117452
Nol G1rl Test 010324;704;218;968;494;130.0;130.0
Nol G20 Test 010324;857;213;543;470;98.2344135219425;98.2344135219425
Nol G2r Test 010324;596;200;385;535;57.42821606144492;57.42821606144492
Nol H1r Test 010324;644;192;933;509;61.66036003787198;61.66036003787198
Nol H1rl Test 010324;667;186;380;557;47.0;47.0
Nol H20 Test 010324;581;184;768;486;66.007575322837;66.007575322837
Nol H2l Test 010324;401;207;684;527;73.55270219373317;73.55270219373317
Nol I1l Test 010324;592;212;844;499;0.0;0.0
Nol I1rl Test 010324;673;197;376;508;97.02061636580135;97.02061636580135
Nol I20 Test 010324;372;189;638;508;37.05401462729781;37.05401462729781
Nol I2r Test 010324;588;167;310;495;138.36184445142382;138.36184445142382
Nol X0 Test 110724;612;200;353;493;27.018512172212592;27.018512172212592
Nol Xl Test 110724;361;199;642;452;38.0;38.0
Nol Xr Test 110724;825;197;580;485;48.16637831516918;48.16637831516918
Nol Y0 Test 110724;876;169;628;496;45.0;45.0
Nol Yl Test 110724;920;188;657;504;20.024984394500787;20.024984394500787
Nol Yr Test 110724;592;161;827;442;16.0;16.0
Nol Z10 Test 110724;346;199;623;482;12.0;12.0
Nol Z1r Test 110724;276;133;583;473;32.0;32.0
Nol Z20 Test 110724;621;137;327;501;82.20097323024831;82.20097323024831
Nol Z2r Test 110724;574;172;316;473;9.0;9.0
