Video Name,ROI Name,Exloration Time (s)
Nol A1rl Test 070324,non-moved,7.68
Nol A1rl Test 070324,moved,24.48
Nol A2 Test 110324,moved,5.68
Nol A2 Test 110324,non-moved,6.8
Nol A2l Test 090324,non-moved,28.08
Nol A2l Test 090324,moved,18.72
Nol B1l Test 090324,non-moved,23.48
Nol B1l Test 090324,moved,18.92
Nol B1rl Test 090324,moved,54.64
Nol B1rl Test 090324,non-moved,10.52
Nol B20 Test 090324,moved,18.32
Nol B20 Test 090324,non-moved,15.52
Nol B2r Test 090324,non-moved,18.48
Nol B2r Test 090324,moved,29.48
Nol C1l Test 270324,non-moved,12.4
Nol C1l Test 270324,moved,16.04
Nol C1rl Test 270324,moved,12.92
Nol C1rl Test 270324,non-moved,9.24
Nol C20 Test 270324,moved,9.36
Nol C20 Test 270324,non-moved,18.24
Nol C2r Test 270324,non-moved,5.92
Nol C2r Test 270324,moved,7.12
Nol D1r Test 110324,moved,7.64
Nol D1r Test 110324,non-moved,2.2
Nol D1rl Test 270324,moved,10.36
Nol D1rl Test 270324,non-moved,8.92
Nol D20 Test 120324,moved,19.16
Nol D20 Test 120324,non-moved,15.56
Nol D2l Test 120324,moved,4.72
Nol D2l Test 120324,non-moved,14.52
Nol E1l Test 100424,moved,2.12
Nol E1l Test 100424,non-moved,39.44
Nol E1rl Test 100424,non-moved,124.96
Nol E1rl Test 100424,moved,26.24
Nol E20 Test 270324,moved,11.2
Nol E20 Test 270324,non-moved,12.44
Nol F1r Test 270324,non-moved,13.16
Nol F1r Test 270324,moved,7.52
Nol F1rl Test 270324,moved,33.64
Nol F1rl Test 270324,non-moved,28.08
Nol F20 Test 100424,moved,22.64
Nol F20 Test 100424,non-moved,13.8
Nol F2l Test 100424,moved,4.56
Nol F2l Test 100424,non-moved,15.92
Nol G1l Test 010324,moved,27.48
Nol G1l Test 010324,non-moved,26.28
Nol G1rl Test 010324,moved,4.96
Nol G1rl Test 010324,non-moved,13.32
Nol G20 Test 010324,non-moved,18
Nol G20 Test 010324,moved,39.56
Nol G2r Test 010324,moved,8.24
Nol G2r Test 010324,non-moved,15.36
Nol H1r Test 010324,non-moved,12.44
Nol H1r Test 010324,moved,9.52
Nol H1rl Test 010324,moved,13.28
Nol H1rl Test 010324,non-moved,14.84
Nol H20 Test 010324,non-moved,8.48
Nol H20 Test 010324,moved,11.84
Nol H2l Test 010324,moved,13.92
Nol H2l Test 010324,non-moved,22.04
Nol I1l Test 010324,moved,21.36
Nol I1l Test 010324,non-moved,23.44
Nol I1rl Test 010324,moved,14.48
Nol I1rl Test 010324,non-moved,14.32
Nol I20 Test 010324,non-moved,91.4
Nol I20 Test 010324,moved,14.48
Nol I2r Test 010324,non-moved,8.4
Nol I2r Test 010324,moved,15.68
Nol X0 Test 110724,moved,7.2
Nol X0 Test 110724,non-moved,12.6
Nol Xl Test 110724,moved,29.68
Nol Xl Test 110724,non-moved,11.72
Nol Xr Test 110724,non-moved,10.6
Nol Xr Test 110724,moved,37.04
Nol Y0 Test 110724,non-moved,9.24
Nol Y0 Test 110724,moved,69.08
Nol Yl Test 110724,moved,14.76
Nol Yl Test 110724,non-moved,9.44
Nol Yr Test 110724,non-moved,15.04
Nol Yr Test 110724,moved,59.04
Nol Z10 Test 110724,moved,12.84
Nol Z10 Test 110724,non-moved,24.56
Nol Z1r Test 110724,non-moved,19.44
Nol Z1r Test 110724,moved,17.08
Nol Z20 Test 110724,non-moved,16.28
Nol Z20 Test 110724,moved,19.28
Nol Z2r Test 110724,non-moved,12.2
Nol Z2r Test 110724,moved,21.28
NOL_A1R_TEST_070324 (1),moved,18.28
NOL_A1R_TEST_070324 (1),non-moved,10.64
